title,artists,year,youtube_query
I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1997,I'll Be Missing You Puff Daddy & Faith Evans Featuring 112
MMMBop,Hanson,1997,MMMBop Hanson
Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,1997,Mo Money Mo Problems The Notorious B.I.G. Featuring Puff Daddy & Mase
Quit Playing Games (With My Heart),Backstreet Boys,1997,Quit Playing Games (With My Heart) Backstreet Boys
Return Of The Mack,Mark Morrison,1997,Return Of The Mack Mark Morrison
Together Again,Janet,1997,Together Again Janet
Truly Madly Deeply,Savage Garden,1997,Truly Madly Deeply Savage Garden
Wannabe,Spice Girls,1997,Wannabe Spice Girls
You Make Me Wanna...,Usher,1997,You Make Me Wanna... Usher
...Baby One More Time,Britney Spears,1998,...Baby One More Time Britney Spears
All My Life,K-Ci & JoJo,1998,All My Life K-Ci & JoJo
Angel Of Mine,Monica,1998,Angel Of Mine Monica
Believe,Cher,1998,Believe Cher
Doo Wop (That Thing),Lauryn Hill,1998,Doo Wop (That Thing) Lauryn Hill
Gettin' Jiggy Wit It,Will Smith,1998,Gettin' Jiggy Wit It Will Smith
Have You Ever?,Brandy,1998,Have You Ever? Brandy
I Don't Want To Miss A Thing,Aerosmith,1998,I Don't Want To Miss A Thing Aerosmith
Lately,Divine,1998,Lately Divine
My All,Mariah Carey,1998,My All Mariah Carey
My Heart Will Go On,Celine Dion,1998,My Heart Will Go On Celine Dion
Nice & Slow,Usher,1998,Nice & Slow Usher
The Boy Is Mine,Brandy & Monica,1998,The Boy Is Mine Brandy & Monica
The First Night,Monica,1998,The First Night Monica
Too Close,Next,1998,Too Close Next
Amazed,Lonestar,1999,Amazed Lonestar
Bailamos,Enrique Iglesias,1999,Bailamos Enrique Iglesias
"Bills, Bills, Bills",Destiny's Child,1999,"Bills, Bills, Bills Destiny's Child"
Genie In A Bottle,Christina Aguilera,1999,Genie In A Bottle Christina Aguilera
Heartbreaker,Mariah Carey Featuring Jay-Z,1999,Heartbreaker Mariah Carey Featuring Jay-Z
I Knew I Loved You,Savage Garden,1999,I Knew I Loved You Savage Garden
If You Had My Love,Jennifer Lopez,1999,If You Had My Love Jennifer Lopez
Livin' La Vida Loca,Ricky Martin,1999,Livin' La Vida Loca Ricky Martin
No Scrubs,TLC,1999,No Scrubs TLC
Say My Name,Destiny's Child,1999,Say My Name Destiny's Child
Smooth,Santana Featuring Rob Thomas,1999,Smooth Santana Featuring Rob Thomas
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,1999,Thank God I Found You Mariah Carey Featuring Joe & 98 Degrees
Unpretty,TLC,1999,Unpretty TLC
What A Girl Wants,Christina Aguilera,1999,What A Girl Wants Christina Aguilera
Wild Wild West,Will Smith Featuring Dru Hill & Kool Mo Dee,1999,Wild Wild West Will Smith Featuring Dru Hill & Kool Mo Dee
All I Want For Christmas Is You,Mariah Carey,2000,All I Want For Christmas Is You Mariah Carey
Angel,Shaggy Featuring Rayvon,2000,Angel Shaggy Featuring Rayvon
Bent,matchbox twenty,2000,Bent matchbox twenty
Come On Over Baby (All I Want Is You),Christina Aguilera,2000,Come On Over Baby (All I Want Is You) Christina Aguilera
Doesn't Really Matter,Janet,2000,Doesn't Really Matter Janet
Everything You Want,Vertical Horizon,2000,Everything You Want Vertical Horizon
Incomplete,Sisqo,2000,Incomplete Sisqo
Independent Women Part I,Destiny's Child,2000,Independent Women Part I Destiny's Child
It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent",2000,"It Wasn't Me Shaggy Featuring Ricardo ""RikRok"" Ducent"
It's Gonna Be Me,'N Sync,2000,It's Gonna Be Me 'N Sync
Maria Maria,Santana Featuring The Product G&B,2000,Maria Maria Santana Featuring The Product G&B
Ms. Jackson,OutKast,2000,Ms. Jackson OutKast
Music,Madonna,2000,Music Madonna
Try Again,Aaliyah,2000,Try Again Aaliyah
With Arms Wide Open,Creed,2000,With Arms Wide Open Creed
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,2001,Ain't It Funny Jennifer Lopez Featuring Ja Rule
All For You,Janet,2001,All For You Janet
Always On Time,Ja Rule Featuring Ashanti,2001,Always On Time Ja Rule Featuring Ashanti
Bootylicious,Destiny's Child,2001,Bootylicious Destiny's Child
Butterfly,Crazy Town,2001,Butterfly Crazy Town
Fallin',Alicia Keys,2001,Fallin' Alicia Keys
Family Affair,Mary J. Blige,2001,Family Affair Mary J. Blige
Hanging By A Moment,Lifehouse,2001,Hanging By A Moment Lifehouse
How You Remind Me,Nickelback,2001,How You Remind Me Nickelback
I'm Real,Jennifer Lopez Featuring Ja Rule,2001,I'm Real Jennifer Lopez Featuring Ja Rule
In The End,Linkin Park,2001,In The End Linkin Park
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",2001,"Lady Marmalade Christina Aguilera, Lil' Kim, Mya & P!nk"
Stutter,Joe Featuring Mystikal,2001,Stutter Joe Featuring Mystikal
U Got It Bad,Usher,2001,U Got It Bad Usher
U Remind Me,Usher,2001,U Remind Me Usher
A Moment Like This,Kelly Clarkson,2002,A Moment Like This Kelly Clarkson
All I Have,Jennifer Lopez Featuring LL Cool J,2002,All I Have Jennifer Lopez Featuring LL Cool J
Beautiful,Christina Aguilera,2002,Beautiful Christina Aguilera
"Bump, Bump, Bump",B2K & P. Diddy,2002,"Bump, Bump, Bump B2K & P. Diddy"
Complicated,Avril Lavigne,2002,Complicated Avril Lavigne
Dilemma,Nelly Featuring Kelly Rowland,2002,Dilemma Nelly Featuring Kelly Rowland
Foolish,Ashanti,2002,Foolish Ashanti
Gangsta Lovin',Eve Featuring Alicia Keys,2002,Gangsta Lovin' Eve Featuring Alicia Keys
Hot In Herre,Nelly,2002,Hot In Herre Nelly
I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,2002,I Need A Girl (Part One) P. Diddy Featuring Usher & Loon
Ignition,R. Kelly,2002,Ignition R. Kelly
Lose Yourself,Eminem,2002,Lose Yourself Eminem
What's Luv?,Fat Joe Featuring Ashanti,2002,What's Luv? Fat Joe Featuring Ashanti
Without Me,Eminem,2002,Without Me Eminem
Work It,"Missy ""Misdemeanor"" Elliott",2002,"Work It Missy ""Misdemeanor"" Elliott"
21 Questions,50 Cent Featuring Nate Dogg,2003,21 Questions 50 Cent Featuring Nate Dogg
Baby Boy,Beyonce Featuring Sean Paul,2003,Baby Boy Beyonce Featuring Sean Paul
Crazy In Love,Beyonce Featuring Jay Z,2003,Crazy In Love Beyonce Featuring Jay Z
Get Busy,Sean Paul,2003,Get Busy Sean Paul
Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,2003,Get Low Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Hey Ya!,OutKast,2003,Hey Ya! OutKast
In Da Club,50 Cent,2003,In Da Club 50 Cent
Magic Stick,Lil' Kim Featuring 50 Cent,2003,Magic Stick Lil' Kim Featuring 50 Cent
Right Thurr,Chingy,2003,Right Thurr Chingy
Rock Wit U (Awww Baby),Ashanti,2003,Rock Wit U (Awww Baby) Ashanti
Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",2003,"Shake Ya Tailfeather Nelly, P. Diddy & Murphy Lee"
Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,2003,Slow Jamz Twista Featuring Kanye West & Jamie Foxx
Stand Up,Ludacris Featuring Shawnna,2003,Stand Up Ludacris Featuring Shawnna
The Way You Move,OutKast Featuring Sleepy Brown,2003,The Way You Move OutKast Featuring Sleepy Brown
This Is The Night,Clay Aiken,2003,This Is The Night Clay Aiken
"1, 2 Step",Ciara Featuring Missy Elliott,2004,"1, 2 Step Ciara Featuring Missy Elliott"
Boulevard Of Broken Dreams,Green Day,2004,Boulevard Of Broken Dreams Green Day
Burn,Usher,2004,Burn Usher
Confessions Part II,Usher,2004,Confessions Part II Usher
Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,2004,Drop It Like It's Hot Snoop Dogg Featuring Pharrell
Goodies,Ciara Featuring Petey Pablo,2004,Goodies Ciara Featuring Petey Pablo
I Believe,Fantasia,2004,I Believe Fantasia
Lean Back,Terror Squad,2004,Lean Back Terror Squad
Let Me Love You,Mario,2004,Let Me Love You Mario
My Boo,Usher And Alicia Keys,2004,My Boo Usher And Alicia Keys
Since U Been Gone,Kelly Clarkson,2004,Since U Been Gone Kelly Clarkson
Slow Motion,Juvenile Featuring Soulja Slim,2004,Slow Motion Juvenile Featuring Soulja Slim
The Reason,Hoobastank,2004,The Reason Hoobastank
Tipsy,J-Kwon,2004,Tipsy J-Kwon
Yeah!,Usher Featuring Lil Jon & Ludacris,2004,Yeah! Usher Featuring Lil Jon & Ludacris
Candy Shop,50 Cent Featuring Olivia,2005,Candy Shop 50 Cent Featuring Olivia
Check On It,Beyonce Featuring Slim Thug,2005,Check On It Beyonce Featuring Slim Thug
Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,2005,Don't Cha The Pussycat Dolls Featuring Busta Rhymes
Don't Forget About Us,Mariah Carey,2005,Don't Forget About Us Mariah Carey
Gold Digger,Kanye West Featuring Jamie Foxx,2005,Gold Digger Kanye West Featuring Jamie Foxx
Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",2005,"Grillz Nelly Featuring Paul Wall, Ali & Gipp"
Hollaback Girl,Gwen Stefani,2005,Hollaback Girl Gwen Stefani
Inside Your Heaven,Carrie Underwood,2005,Inside Your Heaven Carrie Underwood
Laffy Taffy,D4L,2005,Laffy Taffy D4L
Photograph,Nickelback,2005,Photograph Nickelback
Pon de Replay,Rihanna,2005,Pon de Replay Rihanna
Run It!,Chris Brown,2005,Run It! Chris Brown
So Sick,Ne-Yo,2005,So Sick Ne-Yo
We Belong Together,Mariah Carey,2005,We Belong Together Mariah Carey
You're Beautiful,James Blunt,2005,You're Beautiful James Blunt
Bad Day,Daniel Powter,2006,Bad Day Daniel Powter
Do I Make You Proud,Taylor Hicks,2006,Do I Make You Proud Taylor Hicks
Hips Don't Lie,Shakira Featuring Wyclef Jean,2006,Hips Don't Lie Shakira Featuring Wyclef Jean
I Wanna Love You,Akon Featuring Snoop Dogg,2006,I Wanna Love You Akon Featuring Snoop Dogg
Irreplaceable,Beyonce,2006,Irreplaceable Beyonce
London Bridge,Fergie,2006,London Bridge Fergie
Money Maker,Ludacris Featuring Pharrell,2006,Money Maker Ludacris Featuring Pharrell
My Love,Justin Timberlake Featuring T.I.,2006,My Love Justin Timberlake Featuring T.I.
Promiscuous,Nelly Furtado Featuring Timbaland,2006,Promiscuous Nelly Furtado Featuring Timbaland
Ridin',Chamillionaire Featuring Krayzie Bone,2006,Ridin' Chamillionaire Featuring Krayzie Bone
SOS,Rihanna,2006,SOS Rihanna
Say It Right,Nelly Furtado,2006,Say It Right Nelly Furtado
SexyBack,Justin Timberlake,2006,SexyBack Justin Timberlake
Temperature,Sean Paul,2006,Temperature Sean Paul
What Goes Around...Comes Around,Justin Timberlake,2006,What Goes Around...Comes Around Justin Timberlake
Big Girls Don't Cry,Fergie,2007,Big Girls Don't Cry Fergie
Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,2007,Buy U A Drank (Shawty Snappin') T-Pain Featuring Yung Joc
Crank That (Soulja Boy),Soulja Boy Tell'em,2007,Crank That (Soulja Boy) Soulja Boy Tell'em
Don't Matter,Akon,2007,Don't Matter Akon
Girlfriend,Avril Lavigne,2007,Girlfriend Avril Lavigne
Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,2007,Give It To Me Timbaland Featuring Nelly Furtado & Justin Timberlake
Glamorous,Fergie Featuring Ludacris,2007,Glamorous Fergie Featuring Ludacris
Hey There Delilah,Plain White T's,2007,Hey There Delilah Plain White T's
Kiss Kiss,Chris Brown Featuring T-Pain,2007,Kiss Kiss Chris Brown Featuring T-Pain
Low,Flo Rida Featuring T-Pain,2007,Low Flo Rida Featuring T-Pain
Makes Me Wonder,Maroon 5,2007,Makes Me Wonder Maroon 5
No One,Alicia Keys,2007,No One Alicia Keys
Stronger,Kanye West,2007,Stronger Kanye West
This Is Why I'm Hot,Mims,2007,This Is Why I'm Hot Mims
Umbrella,Rihanna Featuring Jay-Z,2007,Umbrella Rihanna Featuring Jay-Z
Bleeding Love,Leona Lewis,2008,Bleeding Love Leona Lewis
Disturbia,Rihanna,2008,Disturbia Rihanna
I Kissed A Girl,Katy Perry,2008,I Kissed A Girl Katy Perry
Just Dance,Lady Gaga Featuring Colby O'Donis,2008,Just Dance Lady Gaga Featuring Colby O'Donis
Live Your Life,T.I. Featuring Rihanna,2008,Live Your Life T.I. Featuring Rihanna
Lollipop,Lil Wayne Featuring Static Major,2008,Lollipop Lil Wayne Featuring Static Major
Love In This Club,Usher Featuring Young Jeezy,2008,Love In This Club Usher Featuring Young Jeezy
Single Ladies (Put A Ring On It),Beyonce,2008,Single Ladies (Put A Ring On It) Beyonce
So What,P!nk,2008,So What P!nk
Take A Bow,Rihanna,2008,Take A Bow Rihanna
Touch My Body,Mariah Carey,2008,Touch My Body Mariah Carey
Viva La Vida,Coldplay,2008,Viva La Vida Coldplay
Whatever You Like,T.I.,2008,Whatever You Like T.I.
Womanizer,Britney Spears,2008,Womanizer Britney Spears
You Belong With Me,Taylor Swift,2008,You Belong With Me Taylor Swift
3,Britney Spears,2009,3 Britney Spears
Boom Boom Pow,The Black Eyed Peas,2009,Boom Boom Pow The Black Eyed Peas
Crack A Bottle,"Eminem, Dr. Dre & 50 Cent",2009,"Crack A Bottle Eminem, Dr. Dre & 50 Cent"
Down,Jay Sean Featuring Lil Wayne,2009,Down Jay Sean Featuring Lil Wayne
Empire State Of Mind,Jay-Z + Alicia Keys,2009,Empire State Of Mind Jay-Z + Alicia Keys
Fireflies,Owl City,2009,Fireflies Owl City
I Gotta Feeling,The Black Eyed Peas,2009,I Gotta Feeling The Black Eyed Peas
I Know You Want Me (Calle Ocho),Pitbull,2009,I Know You Want Me (Calle Ocho) Pitbull
Imma Be,The Black Eyed Peas,2009,Imma Be The Black Eyed Peas
My Life Would Suck Without You,Kelly Clarkson,2009,My Life Would Suck Without You Kelly Clarkson
Need You Now,Lady Antebellum,2009,Need You Now Lady Antebellum
Poker Face,Lady Gaga,2009,Poker Face Lady Gaga
Right Round,Flo Rida,2009,Right Round Flo Rida
TiK ToK,Ke$ha,2009,TiK ToK Ke$ha
Whatcha Say,Jason Derulo,2009,Whatcha Say Jason Derulo
Break Your Heart,Taio Cruz Featuring Ludacris,2010,Break Your Heart Taio Cruz Featuring Ludacris
California Gurls,Katy Perry Featuring Snoop Dogg,2010,California Gurls Katy Perry Featuring Snoop Dogg
E.T.,Katy Perry Featuring Kanye West,2010,E.T. Katy Perry Featuring Kanye West
Firework,Katy Perry,2010,Firework Katy Perry
Grenade,Bruno Mars,2010,Grenade Bruno Mars
Just The Way You Are,Bruno Mars,2010,Just The Way You Are Bruno Mars
Like A G6,Far*East Movement Featuring Cataracs & Dev,2010,Like A G6 Far*East Movement Featuring Cataracs & Dev
Love The Way You Lie,Eminem Featuring Rihanna,2010,Love The Way You Lie Eminem Featuring Rihanna
Not Afraid,Eminem,2010,Not Afraid Eminem
Nothin' On You,B.o.B Featuring Bruno Mars,2010,Nothin' On You B.o.B Featuring Bruno Mars
OMG,Usher Featuring will.i.am,2010,OMG Usher Featuring will.i.am
Only Girl (In The World),Rihanna,2010,Only Girl (In The World) Rihanna
Raise Your Glass,P!nk,2010,Raise Your Glass P!nk
Rolling In The Deep,Adele,2010,Rolling In The Deep Adele
S&M,Rihanna Featuring Britney Spears,2010,S&M Rihanna Featuring Britney Spears
Teenage Dream,Katy Perry,2010,Teenage Dream Katy Perry
Born This Way,Lady Gaga,2011,Born This Way Lady Gaga
F**kin' Perfect,P!nk,2011,F**kin' Perfect P!nk
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011,"Give Me Everything Pitbull Featuring Ne-Yo, Afrojack & Nayer"
Good Feeling,Flo Rida,2011,Good Feeling Flo Rida
Hold It Against Me,Britney Spears,2011,Hold It Against Me Britney Spears
Lights,Ellie Goulding,2011,Lights Ellie Goulding
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011,Moves Like Jagger Maroon 5 Featuring Christina Aguilera
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011,Party Rock Anthem LMFAO Featuring Lauren Bennett & GoonRock
Pumped Up Kicks,Foster The People,2011,Pumped Up Kicks Foster The People
Set Fire To The Rain,Adele,2011,Set Fire To The Rain Adele
Sexy And I Know It,LMFAO,2011,Sexy And I Know It LMFAO
Someone Like You,Adele,2011,Someone Like You Adele
Stronger (What Doesn't Kill You),Kelly Clarkson,2011,Stronger (What Doesn't Kill You) Kelly Clarkson
Super Bass,Nicki Minaj,2011,Super Bass Nicki Minaj
We Are Young,fun. Featuring Janelle Monae,2011,We Are Young fun. Featuring Janelle Monae
We Found Love,Rihanna Featuring Calvin Harris,2011,We Found Love Rihanna Featuring Calvin Harris
Boyfriend,Justin Bieber,2012,Boyfriend Justin Bieber
Call Me Maybe,Carly Rae Jepsen,2012,Call Me Maybe Carly Rae Jepsen
Diamonds,Rihanna,2012,Diamonds Rihanna
Die Young,Ke$ha,2012,Die Young Ke$ha
Gangnam Style,PSY,2012,Gangnam Style PSY
I Knew You Were Trouble.,Taylor Swift,2012,I Knew You Were Trouble. Taylor Swift
Locked Out Of Heaven,Bruno Mars,2012,Locked Out Of Heaven Bruno Mars
One More Night,Maroon 5,2012,One More Night Maroon 5
Part Of Me,Katy Perry,2012,Part Of Me Katy Perry
Payphone,Maroon 5 Featuring Wiz Khalifa,2012,Payphone Maroon 5 Featuring Wiz Khalifa
Somebody That I Used To Know,Gotye Featuring Kimbra,2012,Somebody That I Used To Know Gotye Featuring Kimbra
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2012,Thrift Shop Macklemore & Ryan Lewis Featuring Wanz
We Are Never Ever Getting Back Together,Taylor Swift,2012,We Are Never Ever Getting Back Together Taylor Swift
When I Was Your Man,Bruno Mars,2012,When I Was Your Man Bruno Mars
Whistle,Flo Rida,2012,Whistle Flo Rida
Wide Awake,Katy Perry,2012,Wide Awake Katy Perry
All Of Me,John Legend,2013,All Of Me John Legend
Best Song Ever,One Direction,2013,Best Song Ever One Direction
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013,Blurred Lines Robin Thicke Featuring T.I. + Pharrell
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013,Can't Hold Us Macklemore & Ryan Lewis Featuring Ray Dalton
Counting Stars,OneRepublic,2013,Counting Stars OneRepublic
Dark Horse,Katy Perry Featuring Juicy J,2013,Dark Horse Katy Perry Featuring Juicy J
Get Lucky,Daft Punk Featuring Pharrell Williams,2013,Get Lucky Daft Punk Featuring Pharrell Williams
Harlem Shake,Baauer,2013,Harlem Shake Baauer
Just Give Me A Reason,P!nk Featuring Nate Ruess,2013,Just Give Me A Reason P!nk Featuring Nate Ruess
Mirrors,Justin Timberlake,2013,Mirrors Justin Timberlake
Roar,Katy Perry,2013,Roar Katy Perry
Royals,Lorde,2013,Royals Lorde
The Monster,Eminem Featuring Rihanna,2013,The Monster Eminem Featuring Rihanna
Timber,Pitbull Featuring Ke$ha,2013,Timber Pitbull Featuring Ke$ha
We Can't Stop,Miley Cyrus,2013,We Can't Stop Miley Cyrus
Wrecking Ball,Miley Cyrus,2013,Wrecking Ball Miley Cyrus
All About That Bass,Meghan Trainor,2014,All About That Bass Meghan Trainor
Anaconda,Nicki Minaj,2014,Anaconda Nicki Minaj
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2014,Bad Blood Taylor Swift Featuring Kendrick Lamar
Blank Space,Taylor Swift,2014,Blank Space Taylor Swift
Drunk In Love,Beyonce Featuring Jay Z,2014,Drunk In Love Beyonce Featuring Jay Z
Fancy,Iggy Azalea Featuring Charli XCX,2014,Fancy Iggy Azalea Featuring Charli XCX
Habits (Stay High),Tove Lo,2014,Habits (Stay High) Tove Lo
Happy,Pharrell Williams,2014,Happy Pharrell Williams
Problem,Ariana Grande Featuring Iggy Azalea,2014,Problem Ariana Grande Featuring Iggy Azalea
Rude,MAGIC!,2014,Rude MAGIC!
Shake It Off,Taylor Swift,2014,Shake It Off Taylor Swift
Stay With Me,Sam Smith,2014,Stay With Me Sam Smith
Take Me To Church,Hozier,2014,Take Me To Church Hozier
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014,Talk Dirty Jason Derulo Featuring 2 Chainz
Thinking Out Loud,Ed Sheeran,2014,Thinking Out Loud Ed Sheeran
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2014,Uptown Funk! Mark Ronson Featuring Bruno Mars
Can't Feel My Face,The Weeknd,2015,Can't Feel My Face The Weeknd
Cheerleader,OMI,2015,Cheerleader OMI
Drag Me Down,One Direction,2015,Drag Me Down One Direction
Earned It (Fifty Shades Of Grey),The Weeknd,2015,Earned It (Fifty Shades Of Grey) The Weeknd
Hello,Adele,2015,Hello Adele
Hotline Bling,Drake,2015,Hotline Bling Drake
Love Me Like You Do,Ellie Goulding,2015,Love Me Like You Do Ellie Goulding
Love Yourself,Justin Bieber,2015,Love Yourself Justin Bieber
See You Again,Wiz Khalifa Featuring Charlie Puth,2015,See You Again Wiz Khalifa Featuring Charlie Puth
Sorry,Justin Bieber,2015,Sorry Justin Bieber
Stressed Out,twenty one pilots,2015,Stressed Out twenty one pilots
Sugar,Maroon 5,2015,Sugar Maroon 5
The Hills,The Weeknd,2015,The Hills The Weeknd
Trap Queen,Fetty Wap,2015,Trap Queen Fetty Wap
Watch Me,Silento,2015,Watch Me Silento
What Do You Mean?,Justin Bieber,2015,What Do You Mean? Justin Bieber
7 Years,Lukas Graham,2016,7 Years Lukas Graham
Bad And Boujee,Migos Featuring Lil Uzi Vert,2016,Bad And Boujee Migos Featuring Lil Uzi Vert
Black Beatles,Rae Sremmurd Featuring Gucci Mane,2016,Black Beatles Rae Sremmurd Featuring Gucci Mane
Can't Stop The Feeling!,Justin Timberlake,2016,Can't Stop The Feeling! Justin Timberlake
Cheap Thrills,Sia Featuring Sean Paul,2016,Cheap Thrills Sia Featuring Sean Paul
Closer,The Chainsmokers Featuring Halsey,2016,Closer The Chainsmokers Featuring Halsey
Cold Water,Major Lazer Featuring Justin Bieber & MO,2016,Cold Water Major Lazer Featuring Justin Bieber & MO
Don't Let Me Down,The Chainsmokers Featuring Daya,2016,Don't Let Me Down The Chainsmokers Featuring Daya
Heathens,twenty one pilots,2016,Heathens twenty one pilots
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2016,I Don't Wanna Live Forever (Fifty Shades Darker) Zayn / Taylor Swift
One Dance,Drake Featuring WizKid & Kyla,2016,One Dance Drake Featuring WizKid & Kyla
Panda,Desiigner,2016,Panda Desiigner
Pillowtalk,Zayn,2016,Pillowtalk Zayn
Starboy,The Weeknd Featuring Daft Punk,2016,Starboy The Weeknd Featuring Daft Punk
That's What I Like,Bruno Mars,2016,That's What I Like Bruno Mars
Work,Rihanna Featuring Drake,2016,Work Rihanna Featuring Drake
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2017,1-800-273-8255 Logic Featuring Alessia Cara & Khalid
Bodak Yellow (Money Moves),Cardi B,2017,Bodak Yellow (Money Moves) Cardi B
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,Despacito Luis Fonsi & Daddy Yankee Featuring Justin Bieber
Havana,Camila Cabello Featuring Young Thug,2017,Havana Camila Cabello Featuring Young Thug
Humble.,Kendrick Lamar,2017,Humble. Kendrick Lamar
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2017,"I'm The One DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"
Last Christmas,Wham!,2017,Last Christmas Wham!
Look What You Made Me Do,Taylor Swift,2017,Look What You Made Me Do Taylor Swift
Meant To Be,Bebe Rexha & Florida Georgia Line,2017,Meant To Be Bebe Rexha & Florida Georgia Line
Mi Gente,J Balvin & Willy William Featuring Beyonce,2017,Mi Gente J Balvin & Willy William Featuring Beyonce
Perfect,Ed Sheeran,2017,Perfect Ed Sheeran
Rockstar,Post Malone Featuring 21 Savage,2017,Rockstar Post Malone Featuring 21 Savage
